data_element,community_0,community_1,community_2,community_3
dbo.Table1.att_14,0.1973334861609006,0.20892626816148172,0.21302259937171103,0.3807176463059067
dbo.Table1.att_16,0.22018896704945254,0.31267770611077306,0.32703244529378633,0.14010088154598802
dbo.Table1.att_17,0.317418555310298,0.28191091043732064,0.2772082220724673,0.12346231217991409
dbo.Table1.att_18,0.2667265215043787,0.27729357583700165,0.27744130445702603,0.17853859820159365
dbo.Table1.att_8,0.253823387637224,0.26704761265547566,0.26863968652464854,0.21048931318265182
dbo.Table10.att_1,0.23875102661520747,0.33116427309944874,0.33725955407471936,0.09282514621062432
dbo.Table10.att_10,0.28067300552240865,0.26937874154574143,0.2690329406238333,0.18091531230801663
dbo.Table10.att_11,0.34800718528415653,0.27117630652159397,0.2606357648848034,0.12018074330944616
dbo.Table10.att_13,0.23892300107704886,0.3171128332348383,0.32385166280699845,0.12011250288111434
dbo.Table10.att_18,0.29998959280792553,0.29186856309454967,0.2854482528469094,0.12269359125061537
dbo.Table10.att_3,0.20038688558283782,0.307416600658703,0.326534235686816,0.1656622780716431
dbo.Table10.att_8,0.27026204044150676,0.29525009978504224,0.2938110211414179,0.14067683863203306
dbo.Table10.att_9,0.16721110021999486,0.25286302715424186,0.27041076206919,0.3095151105565732
dbo.Table2.att_11,0.2691227143716977,0.2965488468959801,0.296001072081524,0.13832736665079817
dbo.Table2.att_13,0.2356150218073904,0.29168551229061274,0.2971518893911244,0.17554757651087244
dbo.Table2.att_17,0.24765237249577166,0.27560110648573255,0.27869567073155066,0.19805085028694516
dbo.Table2.att_19,0.16722233685300983,0.2014382125373954,0.2072130185235966,0.42412643208599815
dbo.Table2.att_20,0.25848395968396454,0.290058897851668,0.2922877438143043,0.15916939865006324
dbo.Table2.att_3,0.3003551222376163,0.24622599663822659,0.2399880948661424,0.21343078625801465
dbo.Table2.att_9,0.2715832140087373,0.22312344059878553,0.21940372412096132,0.28588962127151574
dbo.Table3.att_12,0.26988422790450856,0.30128324400411116,0.301216322161396,0.12761620592998424
dbo.Table3.att_15,0.26559833907247443,0.29687638882283857,0.29977079307807675,0.1377544790266103
dbo.Table3.att_16,0.21684723471138825,0.316279870723582,0.33202629250447363,0.13484660206055613
dbo.Table3.att_17,0.31065341479834074,0.28317791732398706,0.275390636632663,0.1307780312450092
dbo.Table3.att_2,0.3061589230280454,0.24548659069983542,0.24048381390029316,0.20787067237182597
dbo.Table3.att_3,0.07017337410998654,0.07566258700783246,0.0770694258916428,0.7770946129905382
dbo.Table3.att_4,0.20031788556147648,0.29697220881090197,0.3156613544367158,0.18704855119090577
dbo.Table3.att_6,0.2920597567241708,0.3054110905993007,0.2994808687223393,0.10304828395418918
dbo.Table3.att_7,0.2107105200966807,0.24594393672652803,0.25315976291551917,0.29018578026127206
dbo.Table3.att_8,0.2905505434104271,0.29396117619134227,0.2897650162734365,0.12572326412479418
dbo.Table4.att_11,0.2231990596463826,0.25891879353104646,0.26455126063920015,0.2533308861833707
dbo.Table4.att_12,0.2832237538557391,0.31896571282071173,0.3142182187440628,0.08359231457948628
dbo.Table4.att_15,0.3167393606330929,0.2862012937650077,0.27877565082182293,0.11828369478007644
dbo.Table4.att_16,0.2388894724674091,0.2508191937614233,0.25173015462305215,0.2585611791481154
dbo.Table4.att_18,0.22847298661956722,0.22061764017539306,0.22137016876417298,0.32953920444086676
dbo.Table4.att_4,0.31522271849605127,0.25951543352454565,0.2534659458166645,0.17179590216273852
dbo.Table5.att_10,0.3363574091529245,0.2938396786657094,0.2830631566853776,0.0867397554959884
dbo.Table5.att_11,0.08503282331035494,0.10131789231598097,0.1049132971900372,0.7087359871836268
dbo.Table5.att_13,0.34734192044475304,0.2932905215449902,0.28015262744489905,0.07921493056535774
dbo.Table5.att_16,0.3477628647088518,0.2661916794936092,0.2551548202428874,0.13089063555465164
dbo.Table5.att_17,0.1566758925426032,0.16280121445416404,0.1657285886305614,0.5147943043726714
dbo.Table5.att_18,0.2514653965260234,0.30309219304223095,0.30544723918468897,0.13999517124705663
dbo.Table5.att_2,0.2513640993033309,0.28177157679433246,0.28769790328038586,0.17916642062195076
dbo.Table5.att_3,0.2680145887280407,0.2652640620910097,0.26438584286985245,0.20233550631109715
dbo.Table5.att_5,0.2914979539701059,0.3051044215363367,0.3010540820111014,0.10234354248245596
dbo.Table6.att_10,0.24798265419584495,0.28346764384253936,0.2858546192728583,0.1826950826887573
dbo.Table6.att_17,0.2950751542473329,0.2506686291223553,0.24538034370958134,0.20887587292073054
dbo.Table6.att_2,0.2767726966074762,0.30318843773317755,0.3033054087569225,0.11673345690242366
dbo.Table6.att_20,0.2982076526096476,0.2514280705154258,0.24575961423481454,0.20460466264011204
dbo.Table6.att_4,0.19180102605607033,0.23069602160219332,0.2383298272384217,0.3391731251033147
dbo.Table6.att_9,0.192441073422188,0.2501263655705633,0.2611880798856821,0.2962444811215666
dbo.Table7.att_12,0.2356150218073903,0.2916855122906129,0.2971518893911244,0.17554757651087244
dbo.Table7.att_13,0.3185304027712003,0.25942674084990996,0.25145302994964025,0.17058982642924947
dbo.Table7.att_16,0.2610190219279366,0.2828313170352268,0.2837605787050693,0.1723890823317673
dbo.Table7.att_17,0.22699714558512513,0.2672863098163606,0.2742656306031007,0.2314509139954135
dbo.Table7.att_20,0.3334285564242401,0.27655256596167305,0.26814278499682964,0.12187609261725728
dbo.Table7.att_6,0.19246405213459505,0.2419741507183955,0.24813918468074905,0.31742261246626047
dbo.Table8.att_1,0.24545237170961692,0.2785084137691621,0.28219787072131547,0.19384134379990559
dbo.Table8.att_10,0.1842519691661564,0.28170921946562405,0.3013736609863133,0.23266515038190624
dbo.Table8.att_13,0.2835671250120168,0.2405293243605282,0.23653553575342112,0.2393680148740338
dbo.Table8.att_14,0.20426228564486154,0.3145855528421207,0.33431026714194395,0.14684189437107378
dbo.Table8.att_15,0.1391059499502305,0.1401979193879979,0.14125731009541906,0.5794388205663525
dbo.Table8.att_17,0.26338399344394314,0.24313417149214495,0.24104123174209016,0.2524406033218217
dbo.Table8.att_18,0.3832737237261139,0.2539073563538361,0.24184810543564553,0.12097081448440453
dbo.Table8.att_19,0.22233662639950535,0.24141857463616526,0.2433955574061746,0.2928492415581548
dbo.Table8.att_20,0.2509895323767711,0.32862266602163753,0.3337425770983829,0.08664522450320845
dbo.Table8.att_7,0.2578895170418417,0.21702913334692625,0.21464654270518851,0.3104348069060436
dbo.Table8.att_9,0.18500878346174243,0.22915650928352393,0.23733869784515665,0.3484960094095769
dbo.Table9.att_1,0.1654141856058007,0.22846974067358153,0.24047622720707532,0.3656398465135424
dbo.Table9.att_10,0.2344822387968112,0.24646313076837767,0.2469533150256167,0.27210131540919436
dbo.Table9.att_14,0.2561055371916632,0.24737895643881933,0.24675934912779407,0.24975615724172343
dbo.Table9.att_16,0.22311845857766457,0.27844914881774996,0.2861414124360132,0.21229098016857226
dbo.Table9.att_17,0.2945601972297959,0.2658824136421529,0.2605230661541682,0.179034322973883
dbo.Table9.att_18,0.35582895044873064,0.2505894071357804,0.24122545425815295,0.15235618815733606
dbo.Table9.att_19,0.2680145887280406,0.2652640620910098,0.26438584286985245,0.20233550631109715
dbo.Table9.att_5,0.07017337410998657,0.07566258700783246,0.0770694258916428,0.7770946129905382
dbo.Table9.att_9,0.3120436445125445,0.25769391374574774,0.25197320024570136,0.1782892414960064
