combination_id,community_algorithm,community_resolution,min_pattern_frequency,quality_weight_coverage,quality_weight_redundancy,num_communities,avg_community_size,avg_affinity_score,coverage_ratio,weighted_coverage,redundancy_score,quality_score
1,greedy_modularity,1.2,4.0,0.3,0.6,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.16608986333044304
2,louvain,1.5,4.0,0.3,0.3,11,7.0,0.096560409287682,0.2857142857142857,0.2782608695652174,0.0,0.122102424584638
3,label_propagation,0.5,4.0,0.3,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3031801093643199
4,greedy_modularity,0.5,2.0,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.13203983768400185
5,label_propagation,1.5,4.0,0.6,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5968198906356801
6,louvain,0.5,3.0,0.3,0.6,10,7.7,0.028963293650793653,0.9941860465116279,0.9945155393053017,0.0,0.30125099115666987
7,greedy_modularity,0.5,3.0,0.5,0.4,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.19813501077500228
8,louvain,1.0,4.0,0.6,0.5,5,15.4,0.05658460820225526,0.75,0.7478260869565218,0.0,0.4430371913536875
9,label_propagation,1.2,4.0,0.6,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6
10,louvain,1.0,3.0,0.3,0.6,5,15.4,0.05926654206833235,0.4418604651162791,0.4515539305301645,0.0,0.14139283336588257
11,louvain,1.5,3.0,0.6,0.4,11,7.0,0.07121350871350872,0.23837209302325582,0.2413162705667276,0.0,0.14478976234003657
12,louvain,2.0,3.0,0.6,0.4,21,3.6666666666666665,0.04272108843537415,0.05813953488372093,0.0603290676416819,0.0,0.03619744058500914
13,label_propagation,1.2,3.0,0.3,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3063602187286398
14,greedy_modularity,0.5,4.0,0.3,0.6,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.16608986333044304
15,label_propagation,0.5,3.0,0.3,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.30954032809295967
16,greedy_modularity,2.0,4.0,0.3,0.5,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.17044059622610347
17,label_propagation,2.0,3.0,0.6,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5936397812713602
18,greedy_modularity,2.0,3.0,0.3,0.6,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.12062129962326554
19,label_propagation,0.8,2.0,0.3,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3031801093643199
20,greedy_modularity,1.2,4.0,0.3,0.4,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.1747913291217639
21,label_propagation,2.0,3.0,0.4,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4
22,label_propagation,1.2,3.0,0.6,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5968198906356801
23,label_propagation,1.5,3.0,0.3,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.30954032809295967
24,greedy_modularity,1.0,2.0,0.3,0.3,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.08124748397681245
25,label_propagation,0.5,3.0,0.6,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6031801093643199
26,label_propagation,1.0,2.0,0.4,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4031801093643199
27,greedy_modularity,1.0,3.0,0.5,0.4,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.19813501077500228
28,greedy_modularity,0.5,3.0,0.5,0.3,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.20248574367066272
29,greedy_modularity,0.5,2.0,0.3,0.4,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.076896751081152
30,louvain,2.0,4.0,0.5,0.5,20,3.85,0.06170833333333333,0.17857142857142858,0.17391304347826086,0.0,0.08695652173913043
31,label_propagation,0.8,4.0,0.3,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.30954032809295967
32,louvain,1.2,3.0,0.5,0.5,6,12.833333333333334,0.0626870583120583,0.31976744186046513,0.3327239488117002,0.0,0.1663619744058501
33,label_propagation,1.0,2.0,0.6,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6
34,greedy_modularity,0.5,3.0,0.6,0.5,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.22819040055954978
35,louvain,1.0,2.0,0.3,0.3,5,15.4,0.05753971802565153,0.3237864077669903,0.3300948415452232,0.0,0.12204433967382758
36,greedy_modularity,1.2,3.0,0.6,0.5,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.22819040055954978
37,louvain,0.5,4.0,0.3,0.4,6,12.833333333333334,0.031313131313131314,0.8928571428571429,0.8956521739130435,0.0,0.27808959156785246
38,label_propagation,1.0,3.0,0.4,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4031801093643199
39,greedy_modularity,1.0,4.0,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.3278289937652257
40,louvain,1.2,4.0,0.3,0.3,7,11.0,0.0734425703786606,0.35714285714285715,0.3565217391304348,0.0,0.13633354989059468
41,louvain,1.2,2.0,0.5,0.3,6,12.833333333333334,0.06581585081585081,0.21893203883495146,0.2248438584316447,0.0,0.1255850993789925
42,louvain,1.5,3.0,0.5,0.3,11,7.0,0.05919651056014692,0.22674418604651161,0.23217550274223034,0.0,0.12792705348314456
43,louvain,0.8,4.0,0.3,0.5,5,15.4,0.057324009324009315,0.6071428571428571,0.6086956521739131,0.0,0.19407349751697578
44,greedy_modularity,0.5,4.0,0.6,0.4,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.3234782608695652
45,greedy_modularity,1.5,2.0,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.13203983768400185
46,label_propagation,0.8,2.0,0.4,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4
47,greedy_modularity,1.2,3.0,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.23689186635087064
48,greedy_modularity,1.5,3.0,0.5,0.3,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.20248574367066272
49,label_propagation,1.5,3.0,0.5,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5063602187286398
50,label_propagation,0.8,3.0,0.3,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.31272043745727957
